orderid,comments,
1001,"The delivery was significantly delayed, I was very hungry and waited too long. Disappointed with the service.",
1002,"The food arrived hot and on time, everything was packed nicely. Great service!",
1003,"I'm missing one item from my order, checked everything and couldn't find it. Need to ensure all items arrive.",
1004,"Delivery status updated regularly, knew exactly when the courier was arriving. Thank you very much!",
1005,Need to return the order because it arrived wrong. How does the return and refund process work?,
1006,"The courier was kind and fast, a good experience overall. No specific complaints.",
1007,"The delivery was delayed due to a restaurant issue, received a quick update. Annoying but I understand.",
1008,"The items were perfectly packed, well done on paying attention to small details.",
1009,I ordered a drink and it didn't come with the rest of the delivery. Where could it be?,
1010,"I wondered when the delivery started, didn't receive a departure confirmation.",
1011,Order 1234567 was delayed by over an hour. I expected it much sooner. Unpleasant experience.,
1012,The courier arrived incredibly fast! Very happy with the speed. Definitely ordering again.,
1013,"Received the order, but the fries platter was completely missing. Please contact me.",
1014,"Delivery tracking was accurate, saw the courier on the map all the way. Excellent!",
1015,The product that arrived doesn't match the picture on the website. I want to return it for a full refund.,
1016,"Everything went smoothly, from ordering to delivery. Wonderful service from Wolt.",
1017,"The estimated delivery time was very long, although a shorter time was stated. Disappointed with the delay.",
1018,"I received a notification that the delivery is on its way, which helps a lot with planning. Thanks for the update.",
1019,"I didn't receive all the dishes I ordered, some of the food just didn't arrive. This is unacceptable.",
1020,How do I cancel an order that has already been dispatched? I have an urgent issue and cannot receive it.,
1021,"Great delivery, food was well packed and the courier was lovely. Highly recommended!",
1022,Order 9876543 was delayed by 45 minutes from the original time. That's a bit too much.,
1023,"The courier called to confirm arrival, excellent customer service. I liked the personal touch.",
1024,"One of the drinks spilled inside the bag, everything was wet. This shouldn't happen.",
1025,Can I get a refund for an item that broke during delivery?,
1026,"Just a smooth and convenient experience, no issues at all. Will definitely use again.",
1027,Longer waiting times than usual today. Is there a special load or any problem?,
1028,"Received an update that the courier arrived at the pickup point. Great, can track it.",
1029,One small bag was completely missing from the entire order. This is really frustrating.,
1030,I want to cancel my order because I waited too long. Can I get a credit?,
1031,"The courier was fast and efficient, everything arrived exactly as I ordered.",
1032,"The delivery was delayed due to traffic, I understood it from the app. Good to have an update.",
1033,Certain items in my order did not arrive at all. Very disappointing.,
1034,"The courier was very nice and professional, arrived exactly on time. Positive service.",
1035,Can I exchange an item that was ordered by mistake? What's the process?,
1036,"No special comments, the delivery was fine. Service as usual.",
1037,"The estimated time kept increasing, and eventually, the delivery was very late. Too bad.",
1038,"Tracking worked well, but the courier seemed to be circling in the same spot for a long time.",
1039,A small package that should have been included was not found. This is concerning.,
1040,"I'm considering returning everything, the delivery arrived too late and I couldn't eat.",
1041,Thank you very much for the fast and efficient service. Very satisfied.,
1042,"Slight delay but not terrible, received a proper notification. Perfectly fine.",
1043,"Received a notification that the delivery was made, but I don't see it at the doorstep.",
1044,"Great job with the careful packaging, the food stayed hot and fresh.",
1045,The refund process was quick and easy. Thanks for the prompt handling.,
1046,"Overall, a good experience. Nothing special to note.",
1047,"The delivery was delayed, and the restaurant didn't answer the phone. Big frustration.",
1048,"The courier was surprisingly fast, I didn't expect that. Hats off!",
1049,Some of the sauces didn't come with the dishes. A bit annoying.,
1050,"Routine order, no problems. Everything arrived as it should.",
1051,My food was cold when it arrived. Very disappointing after waiting so long.,
1052,The app says delivered but I have not received anything yet. Where is my order?,
1053,"Missing the main course, only side dishes arrived. This is unacceptable.",
1054,"I need to return this item, it's the wrong size. What's your policy?",
1055,"First time using Wolt, very smooth experience. Will recommend!",
1056,"Order took almost two hours, which is far too long for a local delivery.",
1057,Got an SMS update when the food was picked up. Good communication.,
1058,My soup spilled all over the bag because it wasn't sealed properly.,
1059,Can I get a re-delivery or a credit for the missing items?,
1060,The rider was polite and efficient. Very happy with the delivery.,
1061,Still waiting for my food. It's 30 minutes past the estimated delivery time.,
1062,"The tracking map froze, couldn't see where the delivery was.",
1063,One of the dessert items was missing from the dessert package.,
1064,The refund for my previous order was processed quickly. Thank you for that.,
1065,"Everything was perfect. Hot food, fast delivery. Excellent job!",
1066,"Delivery took ages, worst service ever. I'm really upset.",
1067,Received a notification that my order is out for delivery. Exciting!,
1068,Forgot my drink again. This happens too often. Please check orders carefully.,
1069,The refund for the incorrect item was issued promptly. Appreciate it.,
1070,"No issues whatsoever, seamless transaction from start to finish.",
1071,The food arrived late and cold. Not what I expected at all.,
1072,"The tracking feature is great, very helpful to know where the courier is.",
1073,"Missing cutlery with my order, even though I specifically requested it.",
1074,"I want to return the entire meal, it was not what I ordered.",
1075,Fast and friendly delivery. Highly satisfied with Wolt today.,
1076,Been waiting for over an hour past the estimated time. Unacceptable delay.,
1077,The courier updated me when they were stuck in traffic. Good heads-up.,
1078,"Part of my order, a side dish, was completely omitted. Frustrating.",
1079,How do I initiate a return for a damaged product?,
1080,"Generally good service, nothing stood out as particularly bad or good.",
